Segment 1:			
			
Segment 2:			
Ep = 0.387V			
ip = -4.412e-5A			
Ah = -3.627e-5C			
			
Segment 3:			
Ep = 0.414V			
ip = 2.403e-3A			
Ah = 2.550e-3C			
			
Segment 4:			
Ep = 0.392V			
ip = -4.201e-5A			
Ah = -3.518e-5C			
			
Segment 5:			
Ep = 0.414V			
ip = 2.364e-3A			
Ah = 2.510e-3C			
			
Segment 6:			
Ep = 0.389V			
ip = -4.136e-5A			
Ah = -3.573e-5C			
			
Segment 7:			
Ep = 0.417V			
ip = 2.314e-3A			
Ah = 2.506e-3C			
			
Segment 8:			
Ep = 0.391V			
ip = -4.252e-5A			
Ah = -3.600e-5C			
			
Segment 9:			
Ep = 0.420V			
ip = 2.309e-3A			
Ah = 2.645e-3C			
			
Potential/V	 Current/A		
			
0.8	-3.83E-05		
0.801	-3.77E-05		
0.802	-3.74E-05		
0.803	-3.68E-05		
0.804	-3.69E-05		
0.805	-3.65E-05		
0.806	-3.65E-05		
0.807	-3.64E-05		
0.808	-3.63E-05		
0.809	-3.59E-05		
0.81	-3.62E-05		
0.811	-3.58E-05		
0.812	-3.59E-05		
0.813	-3.55E-05		
0.814	-3.57E-05		
0.815	-3.56E-05		
0.816	-3.55E-05		
0.817	-3.52E-05		
0.818	-3.52E-05		
0.819	-3.51E-05		
0.82	-3.53E-05		
0.821	-3.49E-05		
0.822	-3.51E-05		
0.823	-3.47E-05		
0.824	-3.49E-05		
0.825	-3.46E-05		
0.826	-3.48E-05		
0.827	-3.44E-05		
0.828	-3.48E-05		
0.829	-3.45E-05		
0.83	-3.45E-05		
0.831	-3.42E-05		
0.832	-3.44E-05		
0.833	-3.41E-05		
0.834	-3.44E-05		
0.835	-3.42E-05		
0.836	-3.41E-05		
0.837	-3.42E-05		
0.838	-3.43E-05		
0.839	-3.38E-05		
0.84	-3.40E-05		
0.841	-3.38E-05		
0.842	-3.40E-05		
0.843	-3.38E-05		
0.844	-3.38E-05		
0.845	-3.37E-05		
0.846	-3.37E-05		
0.847	-3.35E-05		
0.848	-3.38E-05		
0.849	-3.33E-05		
0.85	-3.37E-05		
0.851	-3.33E-05		
0.852	-3.35E-05		
0.853	-3.33E-05		
0.854	-3.34E-05		
0.855	-3.31E-05		
0.856	-3.33E-05		
0.857	-3.31E-05		
0.858	-3.33E-05		
0.859	-3.30E-05		
0.86	-3.30E-05		
0.861	-3.31E-05		
0.862	-3.33E-05		
0.863	-3.29E-05		
0.864	-3.31E-05		
0.865	-3.29E-05		
0.866	-3.31E-05		
0.867	-3.28E-05		
0.868	-3.30E-05		
0.869	-3.27E-05		
0.87	-3.30E-05		
0.871	-3.27E-05		
0.872	-3.29E-05		
0.873	-3.24E-05		
0.874	-3.27E-05		
0.875	-3.25E-05		
0.876	-3.27E-05		
0.877	-3.23E-05		
0.878	-3.28E-05		
0.879	-3.23E-05		
0.88	-3.24E-05		
0.881	-3.22E-05		
0.882	-3.24E-05		
0.883	-3.21E-05		
0.884	-3.23E-05		
0.885	-3.22E-05		
0.886	-3.22E-05		
0.887	-3.20E-05		
0.888	-3.23E-05		
0.889	-3.19E-05		
0.89	-3.21E-05		
0.891	-3.18E-05		
0.892	-3.22E-05		
0.893	-3.19E-05		
