0.1,-0.005922
0.2,-0.005948
0.3,-0.005966
0.4,-0.005992
0.5,-0.006007
0.6,-0.006029
0.7,-0.006044
0.8,-0.006061
0.9,-0.006077
1,-0.006087
1.1,-0.006106
1.2,-0.006114
1.3,-0.006132
1.4,-0.006139
1.5,-0.006153
1.6,-0.006163
1.7,-0.006171
1.8,-0.006184
1.9,-0.006188
2,-0.006203
2.1,-0.006207
2.2,-0.00622
2.3,-0.006224
2.4,-0.006233
2.5,-0.006241
2.6,-0.006243
2.7,-0.006256
2.8,-0.006256
2.9,-0.006269
3,-0.006271
3.1,-0.00628
3.2,-0.006285
3.3,-0.006287
3.4,-0.006297
3.5,-0.006295
3.6,-0.006307
3.7,-0.006306
3.8,-0.006315
3.9,-0.006318
4,-0.006321
4.1,-0.006328
4.2,-0.006327
4.3,-0.006336
4.4,-0.006333
4.5,-0.006342
4.6,-0.006342
4.7,-0.006347
4.8,-0.006351
4.9,-0.006349
5,-0.006358
5.1,-0.006356
5.2,-0.006364
5.3,-0.006362
5.4,-0.006368
5.5,-0.006369
5.6,-0.00637
5.7,-0.006376
5.8,-0.006372
5.9,-0.006381
6,-0.006378
6.1,-0.006384
6.2,-0.006382
6.3,-0.006385
6.4,-0.006388
6.5,-0.006387
6.6,-0.006395
6.7,-0.006392
6.8,-0.006399
6.9,-0.006398
7,-0.006401
7.1,-0.006402
7.2,-0.006401
7.3,-0.006407
7.4,-0.006403
7.5,-0.00641
7.6,-0.006407
7.7,-0.006412
7.8,-0.006411
7.9,-0.006412
8,-0.006415
8.1,-0.006411
8.2,-0.006418
8.3,-0.006414
8.4,-0.00642
8.5,-0.006418
8.6,-0.006421
8.7,-0.006422
8.8,-0.006419
8.9,-0.006425
9,-0.00642
9.1,-0.006427
9.2,-0.006422
9.3,-0.006426
9.4,-0.006426
9.5,-0.006425
9.6,-0.006429
9.7,-0.006425
9.8,-0.006431
9.9,-0.006427
10,-0.006433
10.1,-0.00643
10.2,-0.006432
10.3,-0.006434
10.4,-0.00643
10.5,-0.006437
10.6,-0.006431
10.7,-0.006437
10.8,-0.006433
10.9,-0.006436
11,-0.006437
11.1,-0.006434
11.2,-0.006439
11.3,-0.006434
11.4,-0.006441
11.5,-0.006435
11.6,-0.00644
11.7,-0.006438
11.8,-0.006438
11.9,-0.006441
12,-0.006436
12.1,-0.006443
12.2,-0.006437
12.3,-0.006443
12.4,-0.006439
12.5,-0.006441
12.6,-0.006441
12.7,-0.006438
12.8,-0.006444
12.9,-0.006439
13,-0.006446
13.1,-0.006441
13.2,-0.006444
13.3,-0.006442
13.4,-0.006441
13.5,-0.006445
13.6,-0.006441
13.7,-0.006447
13.8,-0.006442
13.9,-0.006447
14,-0.006444
14.1,-0.006445
14.2,-0.006446
14.3,-0.006443
14.4,-0.006448
14.5,-0.006444
14.6,-0.006449
14.7,-0.006445
14.8,-0.006448
14.9,-0.006446
15,-0.006444
15.1,-0.006448
15.2,-0.006444
15.3,-0.006451
15.4,-0.006446
15.5,-0.006451
15.6,-0.006449
15.7,-0.006448
15.8,-0.006451
15.9,-0.006446
16,-0.006452
16.1,-0.006447
16.2,-0.006452
16.3,-0.006449
16.4,-0.006452
16.5,-0.006452
16.6,-0.006449
16.7,-0.006454
16.8,-0.006448
16.9,-0.006454
17,-0.006451
17.1,-0.006454
17.2,-0.006454
17.3,-0.006452
17.4,-0.006456
17.5,-0.006451
17.6,-0.006457
17.7,-0.006452
17.8,-0.006456
17.9,-0.006453
18,-0.006455
18.1,-0.006456
18.2,-0.006452
18.3,-0.006458
18.4,-0.006452
18.5,-0.006457
18.6,-0.006453
18.7,-0.006455
18.8,-0.006455
18.9,-0.006452
19,-0.006457
19.1,-0.006453
19.2,-0.006461
19.3,-0.006455
19.4,-0.00646
19.5,-0.006457
19.6,-0.006459
19.7,-0.006461
19.8,-0.006457
19.9,-0.006462
